word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
analys,9,2,4,3,0,5,20,6,0,3,0,6,7,0,0,0,3,1,0,13,3,2,9,0,1,0
chang,34,4,77,7,7,136,77,4,30,37,41,10,51,5,21,1,21,0,16,31,7,6,5,10,14,15
multilevel,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiplay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
government,3,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
describ,3,0,4,1,1,4,43,3,1,2,1,3,17,2,5,0,4,3,0,3,0,0,0,0,0,0
complement,2,0,6,0,0,3,8,0,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
basic,9,7,2,7,13,25,388,4,14,1,6,1,11,0,9,21,25,0,1,8,3,29,6,0,7,0
bottomup,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
multipl,1,0,2,1,0,3,11,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0
level,81,25,170,15,57,130,159,18,110,143,46,29,147,13,64,7,97,6,51,68,17,7,33,11,81,17
school,156,5,133,152,159,10,323,2,223,154,158,3,20,0,269,34,35,0,183,32,34,92,9,38,168,24
maintain,33,2,13,1,1,29,17,2,5,10,2,2,10,1,1,1,8,0,2,2,0,0,2,1,4,4
countyregion,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
provid,69,15,182,8,51,78,88,27,37,101,32,29,122,7,66,27,16,3,58,62,11,7,50,20,38,27
greater,2,0,17,0,0,19,5,1,2,16,5,0,5,6,4,2,49,4,14,17,1,0,18,4,0,4
freedom,2,0,0,0,0,5,8,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,1,0,1,0
movement,1,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
local,72,0,15,16,16,75,52,11,53,11,26,0,1,1,17,9,7,0,14,0,31,4,1,4,46,2
region,38,9,70,17,6,128,55,2,56,15,33,0,8,5,55,3,7,1,16,22,5,4,10,3,2,4
player,5,0,0,3,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,0,0,0,0
preserv,2,2,0,0,0,16,21,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
divis,2,2,2,0,1,14,16,0,1,0,4,0,0,0,0,0,4,0,0,2,1,2,0,0,0,0
respons,16,5,42,15,4,44,68,7,32,38,13,10,21,16,16,5,12,1,9,32,6,0,7,2,20,9
evolv,3,0,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3
long,3,0,6,0,2,11,6,2,4,0,2,0,5,6,1,0,4,0,0,6,1,0,1,0,0,0
period,8,7,19,2,5,7,72,14,7,9,8,58,103,2,6,5,9,6,4,21,0,4,27,2,5,2
wish,1,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,13,2,4,21,2,0,0,0,1,2
guidanc,2,5,24,10,0,1,0,2,2,3,9,3,6,1,0,0,32,0,6,8,2,0,1,1,6,0
cours,8,1,64,0,21,5,10,0,2,6,4,8,54,8,21,4,90,4,15,15,5,0,16,2,7,0
give,4,0,6,3,0,2,34,2,0,1,4,0,10,1,2,0,16,6,6,30,2,0,1,0,1,2
preced,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indirect,3,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0
mean,29,2,13,1,3,5,54,0,11,6,7,4,17,1,6,0,4,4,4,21,9,4,2,0,14,0
incent,8,0,2,0,0,8,1,1,6,1,3,0,0,1,15,0,4,0,1,6,0,2,3,0,1,0
train,72,13,218,14,38,3,4,6,114,72,90,57,16,0,94,32,118,1,97,21,19,9,22,49,134,74
assist,24,1,8,3,4,3,7,1,12,25,1,2,5,2,10,28,1,1,6,4,2,3,2,3,13,0
allow,13,4,13,2,1,17,28,0,15,2,5,8,48,1,10,7,3,0,11,10,0,0,3,2,1,2
in,58,35,137,8,28,87,60,5,20,30,36,32,76,13,37,6,79,13,33,159,12,3,52,6,24,6
great,7,1,0,1,0,1,9,0,1,1,1,3,5,0,1,0,10,0,1,13,2,0,8,0,5,0
emphasi,13,1,6,1,0,16,9,0,0,5,2,1,11,0,3,0,20,2,1,3,0,0,2,1,4,0
place,15,12,48,5,1,30,29,2,10,45,3,6,27,11,21,5,31,3,21,26,4,6,4,4,18,5
consist,3,1,6,2,1,15,2,2,3,2,0,19,7,3,14,1,4,0,4,1,6,2,1,1,5,0
sought,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
primarili,7,6,5,0,0,9,14,2,0,0,2,0,4,1,1,1,5,0,0,12,5,0,10,0,2,0
nation,60,6,257,26,61,56,54,1,80,125,66,92,61,28,93,10,12,9,65,76,25,4,19,26,90,35
human,14,3,8,0,3,32,207,4,15,8,9,7,9,3,7,3,2,0,4,20,0,1,23,0,21,3
oper,26,9,17,0,19,26,20,0,13,29,4,31,39,2,14,2,3,0,9,5,5,0,7,4,16,6
a,16,5,66,1,4,64,24,20,86,29,32,4,39,11,25,2,48,5,45,50,3,4,8,7,2,23
import,47,0,42,14,5,66,152,0,6,13,22,10,35,2,23,1,16,4,9,63,13,4,37,0,5,5
addit,14,4,47,3,8,12,16,2,8,13,7,1,14,4,10,0,6,5,18,37,1,0,18,3,3,4
rich,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
european,28,17,19,0,3,57,60,18,4,25,29,33,31,0,13,5,11,0,2,37,8,2,49,2,29,4
union,15,3,6,1,2,21,5,32,4,14,20,2,1,1,1,0,0,2,0,4,6,2,5,0,2,2
distribut,8,4,6,0,2,11,10,0,9,0,2,0,2,1,15,2,7,3,1,5,2,0,0,0,7,0
anoth,6,0,3,0,0,16,29,0,3,0,1,4,6,0,12,0,7,0,2,17,0,0,1,0,1,0
sourc,1,0,22,0,3,35,53,0,6,1,7,4,20,1,21,11,1,1,0,7,15,0,1,2,20,0
recommend,8,0,7,2,1,6,17,3,2,19,4,20,21,27,5,1,0,6,5,22,1,1,7,1,1,0
oecd,3,4,22,1,0,19,0,0,6,4,5,0,0,0,2,0,2,0,9,0,0,0,2,0,0,0
three,4,1,9,1,7,11,9,2,2,0,5,3,0,0,11,1,1,1,4,8,0,1,4,3,5,3
part,22,6,27,2,17,60,74,0,39,7,12,7,41,6,9,1,36,12,18,42,8,2,11,2,4,3
contain,8,0,2,0,0,2,26,0,3,1,1,3,9,1,7,0,6,5,2,6,1,0,3,0,0,0
outlin,2,0,11,0,0,2,2,0,1,33,0,0,2,2,0,0,0,0,7,48,1,0,0,1,0,6
current,31,4,48,2,17,27,18,3,32,4,16,7,27,7,66,37,1,1,14,38,2,2,10,0,23,2
summaris,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
intend,16,0,4,0,0,4,3,2,3,2,2,4,2,1,1,0,2,0,0,20,0,0,0,0,3,1
issu,9,10,36,1,11,12,38,0,21,30,3,3,23,11,7,5,6,0,4,26,9,1,5,2,12,2
need,88,13,180,10,26,111,104,4,86,93,89,22,52,9,79,10,63,3,66,87,19,7,40,19,64,36
found,2,0,8,0,0,2,21,0,1,0,4,2,3,0,4,1,5,0,1,3,0,0,2,0,1,0
effort,13,2,3,9,3,15,9,0,3,0,6,1,5,0,9,0,21,3,0,29,0,0,2,0,3,0
come,6,1,20,0,3,12,6,0,6,2,0,0,10,2,2,0,26,1,8,21,0,0,10,0,4,1
year,17,11,126,5,55,36,7,4,23,10,21,9,33,13,49,6,29,10,67,81,10,7,23,15,56,14
explain,1,0,1,2,0,0,49,0,0,0,0,3,0,0,1,0,0,1,0,6,0,0,1,0,1,0
third,1,1,6,2,10,5,1,4,0,25,0,6,7,0,1,1,0,1,10,3,1,0,1,1,0,1
pay,5,1,1,0,0,7,1,2,2,4,1,1,3,1,3,0,1,0,1,10,1,0,0,0,0,0
special,31,2,7,0,51,13,63,4,20,53,38,3,11,0,77,28,11,0,38,3,8,1,10,10,32,10
attent,4,0,2,0,0,11,12,2,1,1,12,2,7,1,5,0,0,1,0,30,2,1,7,0,0,0
practic,40,6,31,35,9,23,77,20,16,22,18,9,84,3,7,4,38,0,27,30,0,0,37,3,6,4
to,26,0,50,2,3,12,3,0,13,4,10,3,36,16,20,29,1,2,22,40,0,0,4,1,3,6
start,3,4,13,2,10,7,8,0,2,0,10,2,13,12,11,5,6,4,2,26,4,1,0,0,7,0
essenti,8,1,7,0,0,9,2,0,2,3,0,2,4,1,15,0,4,0,1,13,5,0,1,0,2,2
take,12,20,25,5,0,41,35,3,13,13,6,15,46,7,7,3,31,7,12,44,10,1,16,1,4,4
stock,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
defin,18,2,5,1,1,13,33,7,7,1,14,5,14,1,6,1,2,1,2,1,3,0,27,0,2,1
possibl,22,4,11,3,2,55,68,4,9,6,14,7,51,7,3,1,87,5,4,49,15,1,10,0,10,0
note,2,0,7,0,0,0,25,0,16,0,1,1,0,1,8,1,1,1,0,0,0,0,6,0,3,0
usual,2,0,1,0,0,5,5,0,0,0,0,0,4,0,0,0,1,0,0,4,1,0,1,0,0,0
often,9,0,5,0,0,7,0,0,3,1,0,0,13,0,1,0,3,0,2,12,0,0,2,0,0,0
present,11,0,12,1,2,11,59,2,8,3,3,9,10,0,3,1,30,0,1,18,6,1,11,3,4,3
elimin,7,0,0,0,1,5,2,0,3,0,0,0,7,0,5,0,0,0,1,1,1,0,0,0,2,0
consequ,6,0,2,0,3,12,6,2,1,1,0,1,3,0,1,0,2,2,0,6,0,1,5,0,1,0
tabl,1,0,10,0,1,0,23,2,0,1,10,7,4,5,33,28,0,2,1,4,2,0,1,0,2,0
align,3,0,8,0,0,1,0,0,8,2,5,1,2,6,0,0,0,0,2,7,0,0,1,3,0,1
act,26,9,1,8,16,10,50,0,8,34,4,7,25,12,1,4,6,8,6,16,23,0,0,1,2,1
synergist,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
especi,9,1,5,0,0,28,6,4,3,2,15,0,44,0,2,1,2,0,1,17,0,1,2,0,5,0
fight,5,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0
negat,4,0,0,0,1,32,15,0,1,0,1,1,3,0,0,0,0,2,0,3,0,0,1,0,4,0
natur,7,4,10,0,3,53,180,0,5,1,6,1,21,0,3,0,18,0,0,16,1,1,6,1,2,0
decis,11,4,2,0,10,26,15,2,4,11,1,43,13,0,2,2,10,3,5,3,7,4,4,0,16,1
categoris,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
someth,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
depend,4,2,4,0,1,23,29,0,2,6,1,3,5,1,6,2,6,0,3,7,3,0,2,0,4,0
frame,3,0,0,0,0,1,0,4,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
refer,2,0,11,0,0,5,5,2,8,1,6,8,2,5,4,0,0,2,1,9,0,0,2,0,2,0
when,8,0,2,0,1,1,7,0,0,0,1,1,11,0,0,0,4,0,0,1,0,0,1,0,0,0
hungari,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
countri,15,6,42,0,10,56,29,2,24,6,21,12,11,0,44,0,13,0,18,18,1,0,33,0,17,3
central,19,3,15,0,4,11,5,2,53,12,8,0,11,0,18,1,16,0,12,13,0,0,1,1,10,2
eastern,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comparison,11,1,0,0,2,10,6,0,2,1,2,0,3,0,0,1,0,0,0,7,2,0,3,0,2,0
over,1,0,9,0,0,1,0,0,0,2,1,5,0,1,1,0,0,0,4,0,0,0,1,0,1,1
last,4,0,9,0,5,9,0,0,4,0,2,2,7,0,5,0,1,0,1,6,1,1,2,0,1,0
divers,5,0,12,1,0,30,30,0,1,4,1,3,5,1,0,0,1,0,11,16,9,1,1,7,1,7
pluralist,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infrastructur,18,4,8,0,1,68,1,4,8,9,2,2,20,0,8,3,0,2,11,15,1,1,10,6,12,3
high,19,2,41,2,6,31,5,2,15,29,11,2,20,1,21,8,27,0,33,33,0,1,11,16,41,10
formal,3,5,15,0,1,5,2,0,11,6,1,8,5,2,2,1,5,0,0,1,11,0,7,0,1,0
expans,2,0,5,0,21,0,0,0,3,3,0,1,3,1,0,0,0,0,0,8,1,0,0,0,1,0
secondari,27,6,7,56,86,11,22,0,26,2,59,0,3,0,29,55,56,2,5,66,0,2,10,0,78,0
popul,5,4,30,0,7,57,12,0,1,1,16,3,8,0,23,2,1,0,3,9,5,0,7,1,32,3
lead,3,1,32,4,0,28,11,0,5,3,3,1,17,20,2,1,4,1,6,21,2,0,8,1,5,4
schoolleav,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exam,2,0,1,0,0,0,1,0,16,0,0,1,0,0,4,0,1,0,0,11,0,0,3,0,0,0
higher,18,147,140,2,70,20,7,158,7,28,53,175,573,66,52,38,75,8,47,448,4,1,191,20,178,23
taken,6,4,4,0,0,13,3,0,2,3,8,11,15,3,15,0,9,0,2,26,2,1,2,0,1,0
percentag,5,1,9,0,0,1,6,2,10,6,3,0,0,0,2,1,0,2,5,13,1,1,1,0,6,0
children,25,0,31,2,38,23,13,0,7,44,27,0,2,0,105,90,1,0,29,0,6,2,0,4,152,8
particip,21,7,86,24,4,72,45,10,9,29,21,8,23,3,7,4,17,22,26,15,35,2,20,7,14,10
individu,11,1,33,6,12,43,172,0,6,23,13,2,49,4,13,3,72,4,5,24,2,1,5,3,7,9
interest,17,5,7,0,3,18,48,1,8,4,6,23,21,1,2,0,4,0,4,19,8,0,2,0,2,1
organis,27,19,16,16,0,46,9,40,0,27,0,5,44,1,0,0,48,5,6,38,38,0,5,3,19,2
preschool,13,0,14,0,29,3,9,0,1,2,34,0,0,0,65,19,0,0,4,0,0,2,4,0,31,0
approach,6,0,20,0,0,37,53,2,13,21,5,2,13,3,8,1,4,0,13,48,0,0,4,6,4,8
form,25,6,11,3,3,70,172,2,8,3,19,13,93,1,17,2,45,6,1,20,5,3,4,0,12,2
compar,4,7,10,0,15,12,61,0,6,0,9,2,10,3,20,2,4,0,4,12,0,0,15,0,11,0
data,16,0,47,0,5,29,28,5,41,9,15,5,44,4,13,0,0,0,5,10,2,1,3,7,4,2
invest,5,5,33,0,1,38,0,2,16,3,8,0,10,7,3,9,3,6,20,28,1,4,13,6,15,0
futur,6,3,56,0,0,30,21,2,1,32,3,2,36,5,2,1,13,3,12,28,0,1,13,4,0,12
among,11,0,11,1,12,20,22,2,8,2,7,3,20,1,5,1,36,4,4,38,1,3,4,1,9,1
student,73,37,175,4,39,9,10,80,45,31,49,93,234,38,106,94,45,64,69,301,6,23,115,4,65,13
parent,7,1,16,10,10,6,20,0,18,12,8,0,4,0,18,2,0,0,32,1,3,0,0,5,19,4
continu,20,5,81,9,5,29,14,11,13,34,41,23,20,9,8,10,51,1,41,22,1,3,20,15,93,23
widen,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0
left,3,0,1,0,1,5,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,7,0
outstand,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
certain,16,1,5,1,13,12,23,2,3,1,1,0,4,0,6,0,13,2,0,7,3,0,11,0,13,0
exceed,3,0,4,0,4,3,2,0,0,0,0,0,3,1,1,0,1,0,1,1,0,0,0,0,0,0
recognit,7,3,11,0,4,3,3,8,2,13,3,14,16,1,2,0,14,0,1,2,0,0,14,0,0,0
extracurricular,3,0,4,0,0,1,1,0,0,0,1,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0
activ,33,28,72,11,30,69,257,28,54,20,21,94,155,8,39,30,8,0,10,29,77,5,61,4,27,4
languag,39,6,38,0,2,6,140,8,3,5,10,0,6,0,28,5,21,0,36,5,0,1,17,6,5,13
ict,18,1,72,0,0,4,2,2,2,15,9,2,0,0,13,5,0,0,19,0,0,0,0,1,0,4
integr,52,1,18,1,14,41,41,3,16,18,13,9,32,1,26,4,6,1,6,10,14,3,10,6,31,7
expect,5,1,12,12,0,15,142,0,5,1,9,3,81,2,7,0,8,1,4,27,3,13,7,1,49,3
signific,22,1,38,1,7,65,27,3,16,11,3,1,33,2,7,0,7,0,21,23,0,0,15,7,7,12
proport,10,13,16,0,2,9,6,0,0,0,2,0,12,0,4,33,2,4,6,12,0,0,1,0,3,0
old,1,2,6,0,3,1,2,0,1,0,0,0,1,0,20,0,0,0,7,3,1,0,1,0,20,0
hold,1,2,3,1,0,0,4,0,2,1,3,1,7,0,1,0,1,5,0,5,0,0,0,0,0,0
examin,20,2,12,0,0,0,2,0,18,18,15,8,8,3,37,2,24,0,15,46,0,1,2,0,3,1
exist,27,6,22,1,10,29,15,4,7,11,8,6,16,4,13,3,8,4,10,23,4,0,16,2,15,4
workforc,3,2,40,0,1,5,0,0,0,2,2,0,0,1,1,0,8,0,5,6,0,0,1,2,3,2
open,12,8,5,1,2,15,19,0,2,3,5,3,45,2,2,1,7,0,5,10,13,0,1,3,12,2
competit,9,6,19,0,11,12,10,0,5,10,11,15,23,0,16,2,7,0,4,24,0,0,11,2,1,1
numer,3,0,2,0,0,1,10,0,0,0,3,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0
segment,2,0,1,0,0,5,14,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0
vocat,15,5,12,0,3,1,1,0,72,7,31,10,0,0,83,23,62,1,0,37,4,0,1,0,122,0
field,37,26,4,1,84,40,134,10,0,5,7,39,33,0,2,6,9,2,7,39,8,0,16,0,37,1
link,29,8,10,0,2,28,16,3,4,4,9,2,18,0,1,0,2,2,5,15,0,0,11,2,1,3
labour,14,9,80,0,0,19,9,38,0,4,0,0,18,1,0,0,38,1,4,60,7,0,34,7,25,4
market,16,9,76,0,15,43,9,25,11,3,30,7,11,1,19,4,30,1,2,66,4,3,37,7,36,5
employ,12,4,289,0,7,48,10,32,11,13,22,21,30,6,7,1,31,0,14,37,10,0,46,4,14,8
attain,3,2,10,0,2,0,10,0,0,6,1,0,5,0,0,0,3,1,4,3,0,0,0,1,0,0
incom,5,1,2,0,0,30,1,0,2,0,0,0,2,0,5,0,0,0,1,8,0,0,6,0,4,0
experi,17,3,56,17,0,26,72,17,5,4,6,3,49,4,5,3,25,0,31,19,6,4,11,7,6,18
applic,24,2,3,0,1,11,40,4,2,1,10,8,63,1,14,0,10,0,3,16,2,1,10,0,6,0
becom,15,6,14,4,4,19,24,0,3,0,6,2,8,1,0,0,15,2,11,29,5,1,8,0,3,2
avail,34,1,37,4,2,37,12,4,8,20,6,5,28,3,35,5,7,8,15,35,8,3,10,3,8,1
huge,3,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,4,0,0,0,0,0,0
pool,1,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
accru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
establish,40,1,18,9,30,20,25,49,41,25,22,15,9,13,51,9,27,1,13,22,6,5,32,4,50,3
assur,6,12,7,0,0,1,0,24,10,6,6,153,30,6,15,0,6,0,3,19,1,1,24,4,20,0
evalu,71,7,36,2,7,27,46,2,13,33,31,281,119,1,12,19,27,11,10,22,0,1,21,3,30,4
disadvantag,31,0,8,0,0,10,23,0,2,27,1,2,4,0,4,3,0,0,21,0,0,0,0,6,7,8
child,5,0,2,0,0,3,8,0,0,6,2,0,1,0,5,8,0,0,4,1,2,0,0,0,32,1
protect,6,0,8,0,5,43,58,0,0,1,0,1,5,0,1,2,0,0,1,2,5,0,1,4,15,1
famili,5,1,10,0,4,66,47,1,1,2,5,1,14,0,24,19,0,0,4,0,13,0,2,1,46,4
equal,8,2,4,0,5,24,13,4,3,12,18,0,7,2,14,4,2,2,7,1,2,1,7,6,3,7
person,11,8,24,1,2,30,160,0,1,19,4,8,33,0,2,1,17,2,10,3,17,0,7,0,24,5
rehabilit,1,0,0,0,5,0,3,0,7,0,0,0,0,0,34,12,0,0,0,0,0,0,0,0,3,0
enabl,18,8,26,2,0,11,16,3,1,13,16,3,17,3,2,1,3,0,8,4,13,2,7,4,0,3
expenditur,2,7,6,0,2,19,1,0,13,7,9,0,3,0,101,80,0,2,3,0,0,0,0,1,11,3
demandcontrol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capac,13,2,10,0,1,35,3,7,54,22,6,6,41,3,24,3,0,0,21,10,2,5,12,5,7,6
willing,5,0,0,0,0,3,1,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0
servic,49,2,74,4,15,119,15,2,39,182,14,12,40,6,21,28,1,0,92,6,10,4,10,33,57,42
consum,1,0,1,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
eg,15,1,18,1,0,45,5,5,0,2,3,9,25,1,1,0,10,0,1,0,5,0,2,0,0,0
decad,6,1,6,0,1,8,0,0,1,1,2,0,1,1,1,0,0,0,4,1,0,5,0,0,1,0
textbook,3,2,0,0,21,0,8,0,70,0,0,0,0,0,21,5,0,0,0,0,0,0,2,0,13,0
counsel,1,0,0,0,0,3,8,0,3,0,11,0,8,0,4,2,1,0,3,2,23,0,0,0,5,0
etc,6,4,9,0,14,38,43,12,16,1,3,8,13,3,19,18,12,0,1,1,11,0,19,0,52,1
mechan,19,0,12,0,13,11,1,5,14,5,5,3,10,2,19,7,1,0,3,2,3,0,16,1,72,0
joint,2,5,1,1,6,2,12,19,0,3,2,4,25,0,3,1,1,2,0,14,0,0,6,0,12,0
staff,7,12,21,2,17,2,13,22,32,50,22,49,100,14,20,37,8,0,0,9,0,0,28,6,32,6
with,4,3,9,0,0,8,10,1,6,1,4,1,7,0,2,0,8,0,7,28,0,0,2,0,2,0
upcom,3,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
transform,5,0,2,0,0,22,3,0,3,1,5,0,12,1,8,0,1,0,4,1,0,0,0,1,3,4
administr,16,0,11,22,6,134,13,7,4,15,5,16,85,3,13,2,4,1,1,14,6,2,5,0,14,0
microregion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
author,8,0,9,7,4,6,10,67,13,15,4,19,9,11,3,3,0,2,4,5,0,0,1,0,14,1
communiti,16,0,12,5,10,40,31,14,12,24,22,5,13,7,11,9,3,3,38,37,0,2,7,3,41,16
partnershipori,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associ,19,6,10,2,0,12,15,6,18,4,4,2,17,1,7,1,1,13,1,76,24,0,5,0,8,1
civil,2,0,3,0,3,9,18,2,7,2,3,9,4,0,4,0,1,0,12,7,0,0,1,10,5,12
societi,13,14,33,3,7,108,101,1,5,29,24,4,29,5,7,2,13,2,13,18,10,3,24,8,18,17
gap,7,0,6,0,1,5,0,0,0,1,0,0,1,1,8,11,0,0,7,0,0,1,0,1,0,2
section,2,1,11,6,0,11,5,0,9,12,0,0,10,4,7,0,0,0,3,22,1,0,0,1,0,0
provis,15,6,73,0,52,8,4,8,3,81,2,20,9,11,16,2,2,1,25,4,2,5,9,14,19,7
equip,36,0,8,0,12,3,45,2,18,6,12,0,7,0,17,9,3,1,15,6,0,2,8,1,8,8
insuffici,5,2,1,0,4,10,5,0,0,0,5,0,3,0,1,0,0,2,0,15,0,2,7,0,9,0
prevent,4,0,0,0,1,52,33,0,0,0,6,0,16,0,7,3,0,2,3,4,14,0,1,0,3,0
deepen,1,0,1,0,0,2,12,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,1,0
digit,3,0,21,0,0,6,14,0,0,0,0,0,8,0,0,0,0,3,11,1,0,0,4,4,2,5
along,2,0,4,0,0,2,1,0,5,0,3,0,3,0,2,0,0,0,1,3,0,0,0,0,1,1
boundari,1,0,1,0,0,2,2,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
economi,10,3,62,1,8,104,6,2,5,11,12,1,7,3,8,2,4,0,12,14,0,2,12,5,19,15
grow,3,0,28,1,3,27,4,0,1,5,2,0,1,0,3,0,0,0,6,5,4,0,0,1,2,3
simpl,1,0,0,0,0,3,130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
precondit,1,2,0,4,1,4,10,1,1,0,1,0,4,0,1,0,0,0,0,8,2,0,1,0,1,0
semiskil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,24,13,181,42,7,126,251,12,29,84,22,16,73,12,16,7,53,3,71,68,222,6,50,18,12,30
devalu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
highlevel,3,0,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unsatisfactori,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
qualif,10,1,34,0,26,1,3,31,21,24,6,18,24,6,31,6,32,0,5,19,5,1,11,0,17,3
portion,7,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,8,0,0,1,0,0,0
studi,9,129,38,1,18,9,27,30,13,3,35,163,191,2,13,8,43,8,5,170,20,2,165,0,11,1
hard,7,0,4,0,0,3,2,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0
chanc,5,0,1,0,0,1,1,0,2,5,2,1,7,0,2,0,2,1,1,6,0,0,0,0,2,0
network,31,1,15,11,3,27,5,5,7,13,6,1,6,2,12,4,2,0,1,6,10,16,10,0,18,1
